record_id,type_name,macro_name,origin,class,category,description
1000,GET,AUDIT_GET,USER,CTL,Audit system control,Requests the status of the audit system.
1001,SET,AUDIT_SET,USER,CTL,Audit system control,"Sets the status of the audit system (enable/disable, set auditd PID)."
1002,LIST,AUDIT_LIST,USER,DEP,Audit system control,Lists syscall rules (deprecated).
1003,ADD,AUDIT_ADD,USER,DEP,Audit system control,Adds a syscall rule (deprecated).
1004,DEL,AUDIT_DEL,USER,DEP,Audit system control,Deletes a syscall rule (deprecated).
1005,USER,AUDIT_USER,USER,DEP,Audit system control,Generic message from user space (deprecated).
1006,LOGIN,AUDIT_LOGIN,KERN,IND,Audit system control,Triggered to record relevant login information when a user log in to access the system.
1007,WATCH_INS,AUDIT_WATCH_INS,USER,DEP,Audit system control,Inserts a file or directory watch entry (deprecated).
1008,WATCH_REM,AUDIT_WATCH_REM,USER,DEP,Audit system control,Removes a file or directory watch entry (deprecated).
1009,WATCH_LIST,AUDIT_WATCH_LIST,USER,DEP,Audit system control,Lists all file and directory watches (deprecated).
1010,SIGNAL_INFO,AUDIT_SIGNAL_INFO,USER,CTL,Audit system control,Gets information about the sender of a signal to auditd.
1011,ADD_RULE,AUDIT_ADD_RULE,USER,CTL,Audit system control,Adds a syscall filtering rule.
1012,DEL_RULE,AUDIT_DEL_RULE,USER,CTL,Audit system control,Deletes a syscall filtering rule.
1013,LIST_RULES,AUDIT_LIST_RULES,USER,CTL,Audit system control,Lists the loaded syscall filtering rules.
1014,TRIM,AUDIT_TRIM,USER,CTL,Audit system control,Trims junk entries from the watched directory tree.
1015,MAKE_EQUIV,AUDIT_MAKE_EQUIV,USER,CTL,Audit system control,Appends a path to the watched directory tree.
1016,TTY_GET,AUDIT_TTY_GET,USER,CTL,Audit system control,Gets the TTY auditing status.
1017,TTY_SET,AUDIT_TTY_SET,USER,CTL,Audit system control,Sets the TTY auditing status.
1018,SET_FEATURE,AUDIT_SET_FEATURE,USER,CTL,Audit system control,Turns an audit feature on or off.
1019,GET_FEATURE,AUDIT_GET_FEATURE,USER,CTL,Audit system control,Gets which audit features are enabled.
1100,USER_AUTH,AUDIT_USER_AUTH,USER,IND,Trusted user-space application messages,Triggered when a user-space authentication attempt is detected.
1101,USER_ACCT,AUDIT_USER_ACCT,USER,IND,Trusted user-space application messages,Triggered when a user-space user account is modified.
1102,USER_MGMT,AUDIT_USER_MGMT,USER,IND,Trusted user-space application messages,Triggered to record user-space management data.
1103,CRED_ACQ,AUDIT_CRED_ACQ,USER,IND,Trusted user-space application messages,Triggered when a user acquires user-space credentials.
1104,CRED_DISP,AUDIT_CRED_DISP,USER,IND,Trusted user-space application messages,Triggered when a user disposes of user-space credentials.
1105,USER_START,AUDIT_USER_START,USER,IND,Trusted user-space application messages,Triggered when a user-space session is started.
1106,USER_END,AUDIT_USER_END,USER,IND,Trusted user-space application messages,Triggered when a user-space session is terminated.
1107,USER_AVC,AUDIT_USER_AVC,USER,IND,Trusted user-space application messages,Triggered when a user-space AVC message is generated.
1108,USER_CHAUTHTOK,AUDIT_USER_CHAUTHTOK,USER,IND,Trusted user-space application messages,Triggered when a user account attribute is modified.
1109,USER_ERR,AUDIT_USER_ERR,USER,IND,Trusted user-space application messages,Triggered when a user account state error is detected.
1110,CRED_REFR,AUDIT_CRED_REFR,USER,IND,Trusted user-space application messages,Triggered when a user refreshes their user-space credentials.
1111,USYS_CONFIG,AUDIT_USYS_CONFIG,USER,IND,Trusted user-space application messages,Triggered when a user-space system configuration change is detected.
1112,USER_LOGIN,AUDIT_USER_LOGIN,USER,IND,Trusted user-space application messages,Triggered when a user logs in.
1113,USER_LOGOUT,AUDIT_USER_LOGOUT,USER,IND,Trusted user-space application messages,Triggered when a user logs out.
1114,ADD_USER,AUDIT_ADD_USER,USER,IND,Trusted user-space application messages,Triggered when a user-space user account is added.
1115,DEL_USER,AUDIT_DEL_USER,USER,IND,Trusted user-space application messages,Triggered when a user-space user is deleted
1116,ADD_GROUP,AUDIT_ADD_GROUP,USER,IND,Trusted user-space application messages,Triggered when a user-space group is added.
1117,DEL_GROUP,AUDIT_DEL_GROUP,USER,IND,Trusted user-space application messages,Triggered when a user-space group is deleted
1118,DAC_CHECK,AUDIT_DAC_CHECK,USER,IND,Trusted user-space application messages,Triggered to record DAC check results.
1119,CHGRP_ID,AUDIT_CHGRP_ID,USER,IND,Trusted user-space application messages,Triggered when a user-space group ID is changed.
1120,TEST,AUDIT_TEST,USER,IND,Trusted user-space application messages,Triggered to record the success value of a test message.
1121,TRUSTED_APP,AUDIT_TRUSTED_APP,USER,IND,Trusted user-space application messages,The record of this type can be used by third party application that require auditing.
1122,USER_SELINUX_ERR,AUDIT_USER_SELINUX_ERR,USER,IND,Trusted user-space application messages,Triggered when a user-space SELinux error is detected.
1123,USER_CMD,AUDIT_USER_CMD,USER,IND,Trusted user-space application messages,Triggered when a user-space shell command is executed.
1124,USER_TTY,AUDIT_USER_TTY,USER,IND,Trusted user-space application messages,Triggered when an explanatory message about TTY input to an administrative process is sent from user-space.
1125,CHUSER_ID,AUDIT_CHUSER_ID,USER,IND,Trusted user-space application messages,Triggered when a user-space user ID is changed.
1126,GRP_AUTH,AUDIT_GRP_AUTH,USER,IND,Trusted user-space application messages,Triggered when a group password is used to authenticate against a user-space group.
1127,SYSTEM_BOOT,AUDIT_SYSTEM_BOOT,USER,IND,Trusted user-space application messages,Triggered when the system is booted up.
1128,SYSTEM_SHUTDOWN,AUDIT_SYSTEM_SHUTDOWN,USER,IND,Trusted user-space application messages,Triggered when the system is shut down.
1129,SYSTEM_RUNLEVEL,AUDIT_SYSTEM_RUNLEVEL,USER,IND,Trusted user-space application messages,Triggered when the system's run level is changed.
1130,SERVICE_START,AUDIT_SERVICE_START,USER,IND,Trusted user-space application messages,Triggered when a service is started.
1131,SERVICE_STOP,AUDIT_SERVICE_STOP,USER,IND,Trusted user-space application messages,Triggered when a service is stopped.
1132,GRP_MGMT,AUDIT_GRP_MGMT,USER,IND,Trusted user-space application messages,Group account attribute was modified.
1133,GRP_CHAUTHTOK,AUDIT_GRP_CHAUTHTOK,USER,IND,Trusted user-space application messages,Group account password or PIN changed.
1134,MAC_CHECK,AUDIT_MAC_CHECK,USER,IND,Trusted user-space application messages,User space MAC (Mandatory Access Control) decision result.
1135,ACCT_LOCK,AUDIT_ACCT_LOCK,USER,IND,Trusted user-space application messages,User's account was locked by an administrator.
1136,ACCT_UNLOCK,AUDIT_ACCT_UNLOCK,USER,IND,Trusted user-space application messages,User's account was unlocked by an administrator.
1137,USER_DEVICE,AUDIT_USER_DEVICE,USER,IND,Trusted user-space application messages,User space hotplug device change.
1138,SOFTWARE_UPDATE,AUDIT_SOFTWARE_UPDATE,USER,IND,Trusted user-space application messages,Software update event.
1200,DAEMON_START,AUDIT_DAEMON_START,USER,IND,auditd daemon internal,Triggered when the auditd daemon is started.
1201,DAEMON_END,AUDIT_DAEMON_END,USER,IND,auditd daemon internal,Triggered when a daemon is successfully stopped.
1202,DAEMON_ABORT,AUDIT_DAEMON_ABORT,USER,IND,auditd daemon internal,Triggered when a daemon is stopped due to an error.
1203,DAEMON_CONFIG,AUDIT_DAEMON_CONFIG,USER,IND,auditd daemon internal,Triggered when a daemon configuration change is detected.
1204,DAEMON_RECONFIG,AUDIT_DAEMON_RECONFIG,USER,IND,auditd daemon internal,auditd was asked to reconfigure itself.
1205,DAEMON_ROTATE,AUDIT_DAEMON_ROTATE,USER,IND,auditd daemon internal,Triggered when the auditd daemon rotates the Audit log files.
1206,DAEMON_RESUME,AUDIT_DAEMON_RESUME,USER,IND,auditd daemon internal,Triggered when the auditd daemon resumes logging.
1207,DAEMON_ACCEPT,AUDIT_DAEMON_ACCEPT,USER,IND,auditd daemon internal,Triggered when the auditd daemon accepts a remote connection.
1208,DAEMON_CLOSE,AUDIT_DAEMON_CLOSE,USER,IND,auditd daemon internal,Triggered when the auditd daemon closes a remote connection.
1209,DAEMON_ERR,AUDIT_DAEMON_ERR,USER,IND,auditd daemon internal,auditd encountered an internal error.
1300,SYSCALL,AUDIT_SYSCALL,KERN,SC,Kernel audit event records,Triggered to record a system call to the kernel.
1301,FS_WATCH,AUDIT_FS_WATCH,KERN,DEP,Kernel audit event records,Old file system watch record (deprecated).
1302,PATH,AUDIT_PATH,KERN,SC,Kernel audit event records,Triggered to record file name path information.
1303,IPC,AUDIT_IPC,KERN,SC,Kernel audit event records,Triggered to record information about a Inter-Process Communication object referenced by a system call.
1304,SOCKETCALL,AUDIT_SOCKETCALL,KERN,SC,Kernel audit event records,Triggered to record arguments of the sys_socketcall system call (used to multiplex many socket-related system calls).
1305,CONFIG_CHANGE,AUDIT_CONFIG_CHANGE,KERN,IND,Kernel audit event records,Triggered when the Audit system configuration is modified.
1306,SOCKADDR,AUDIT_SOCKADDR,KERN,SC,Kernel audit event records,Triggered to record a socket address.
1307,CWD,AUDIT_CWD,KERN,SC,Kernel audit event records,Triggered to record the current working directory.
1309,EXECVE,AUDIT_EXECVE,KERN,SC,Kernel audit event records,Triggered to record arguments of the execve(2) system call.
1311,IPC_SET_PERM,AUDIT_IPC_SET_PERM,KERN,SC,Kernel audit event records,Triggered to record information about new values set by an IPC_SET control operation on an IPC object.
1312,MQ_OPEN,AUDIT_MQ_OPEN,KERN,SC,Kernel audit event records,Triggered to record arguments of the mq_open(3) system call.
1313,MQ_SENDRECV,AUDIT_MQ_SENDRECV,KERN,SC,Kernel audit event records,Triggered to record arguments of the mq_send(3) and mq_receive(3) system calls.
1314,MQ_NOTIFY,AUDIT_MQ_NOTIFY,KERN,SC,Kernel audit event records,Triggered to record arguments of the mq_notify(3) system call.
1315,MQ_GETSETATTR,AUDIT_MQ_GETSETATTR,KERN,SC,Kernel audit event records,Triggered to record the mq_getattr(3) and mq_setattr(3) message queue attributes.
1316,KERNEL_OTHER,AUDIT_KERNEL_OTHER,KERN,IND,Kernel audit event records,Triggered to record information from third-party kernel modules.
1317,FD_PAIR,AUDIT_FD_PAIR,KERN,SC,Kernel audit event records,Triggered to record the use of the pipe and socketpair system calls.
1318,OBJ_PID,AUDIT_OBJ_PID,KERN,SC,Kernel audit event records,Triggered to record information about a process to which a signal is sent.
1319,TTY,AUDIT_TTY,KERN,IND,Kernel audit event records,Triggered when TTY input was sent to an administrative process.
1320,EOE,AUDIT_EOE,KERN,CTL,Kernel audit event records,Triggered to record the end of a multi-record event.
1321,BPRM_FCAPS,AUDIT_BPRM_FCAPS,KERN,SC,Kernel audit event records,Triggered when a user executes a program with a file system capability.
1322,CAPSET,AUDIT_CAPSET,KERN,SC,Kernel audit event records,Triggered to record any changes in process-based capabilities.
1323,MMAP,AUDIT_MMAP,KERN,SC,Kernel audit event records,Triggered to record a file descriptor and flags of the mmap(2) system call.
1324,NETFILTER_PKT,AUDIT_NETFILTER_PKT,KERN,IND,Kernel audit event records,Triggered to record packets traversing Netfilter chains.
1325,NETFILTER_CFG,AUDIT_NETFILTER_CFG,KERN,IND/SC,Kernel audit event records,Triggered when Netfilter chain modifications are detected.
1326,SECCOMP,AUDIT_SECCOMP,KERN,IND,Kernel audit event records,Secure Computing (seccomp) event.
1327,PROCTITLE,AUDIT_PROCTITLE,KERN,SC,Kernel audit event records,Full command line of the process (hex encoded).
1328,FEATURE_CHANGE,AUDIT_FEATURE_CHANGE,KERN,IND,Kernel audit event records,An audit feature changed value.
1329,REPLACE,AUDIT_REPLACE,KERN,CTL,Kernel audit event records,Replaces auditd if a probe goes unanswered.
1330,KERN_MODULE,AUDIT_KERN_MODULE,KERN,SC,Kernel audit event records,Kernel module load/unload event.
1331,FANOTIFY,AUDIT_FANOTIFY,KERN,SC,Kernel audit event records,fanotify access decision.
1332,TIME_INJOFFSET,AUDIT_TIME_INJOFFSET,KERN,SC,Kernel audit event records,Timekeeping offset was injected.
1333,TIME_ADJNTPVAL,AUDIT_TIME_ADJNTPVAL,KERN,SC,Kernel audit event records,NTP value adjustment.
1334,BPF,AUDIT_BPF,KERN,SC,Kernel audit event records,BPF program load/unload.
1335,EVENT_LISTENER,AUDIT_EVENT_LISTENER,KERN,SC,Kernel audit event records,A task joined or left the audit multicast read socket.
1336,URINGOP,AUDIT_URINGOP,KERN,SC,Kernel audit event records,io_uring operation.
1337,OPENAT2,AUDIT_OPENAT2,KERN,SC,Kernel audit event records,how arguments of the openat2 system call.
1338,DM_CTRL,AUDIT_DM_CTRL,KERN,SC,Kernel audit event records,Device Mapper target control.
1339,DM_EVENT,AUDIT_DM_EVENT,KERN,SC,Kernel audit event records,Device Mapper event.
1400,AVC,AUDIT_AVC,KERN,SC,Kernel SELinux / MAC / LSM,Triggered to record an SELinux permission check.
1401,SELINUX_ERR,AUDIT_SELINUX_ERR,KERN,SC,Kernel SELinux / MAC / LSM,Triggered when an internal SELinux error is detected.
1402,AVC_PATH,AUDIT_AVC_PATH,KERN,SC,Kernel SELinux / MAC / LSM,Triggered to record the dentry and vfsmount pair when an SELinux permission check occurs.
1403,MAC_POLICY_LOAD,AUDIT_MAC_POLICY_LOAD,KERN,SC,Kernel SELinux / MAC / LSM,Triggered when a SELinux policy file is loaded.
1404,MAC_STATUS,AUDIT_MAC_STATUS,KERN,SC,Kernel SELinux / MAC / LSM,"Triggered when the SELinux mode (enforcing, permissive, off) is changed."
1405,MAC_CONFIG_CHANGE,AUDIT_MAC_CONFIG_CHANGE,KERN,SC,Kernel SELinux / MAC / LSM,Triggered when an SELinux Boolean value is changed.
1406,MAC_UNLBL_ALLOW,AUDIT_MAC_UNLBL_ALLOW,KERN,SC,Kernel SELinux / MAC / LSM,Triggered when unlabeled traffic is allowed when using the packet labeling capabilities of the kernel provided by NetLabel.
1407,MAC_CIPSOV4_ADD,AUDIT_MAC_CIPSOV4_ADD,KERN,SC,Kernel SELinux / MAC / LSM,Triggered when a Commercial Internet Protocol Security Option (CIPSO) user adds a new Domain of Interpretation (DOI). Adding DOIs is a part of the packet labeling capabilities of the kernel provided by NetLabel.
1408,MAC_CIPSOV4_DEL,AUDIT_MAC_CIPSOV4_DEL,KERN,SC,Kernel SELinux / MAC / LSM,Triggered when a CIPSO user deletes an existing DOI. Adding DOIs is a part of the packet labeling capabilities of the kernel provided by NetLabel.
1409,MAC_MAP_ADD,AUDIT_MAC_MAP_ADD,KERN,SC,Kernel SELinux / MAC / LSM,Triggered when a new Linux Security Module (LSM) domain mapping is added. LSM domain mapping is a part of the packet labeling capabilities of the kernel provided by NetLabel.
1410,MAC_MAP_DEL,AUDIT_MAC_MAP_DEL,KERN,SC,Kernel SELinux / MAC / LSM,Triggered when an existing LSM domain mapping is added. LSM domain mapping is a part of the packet labeling capabilities of the kernel provided by NetLabel.
1411,MAC_IPSEC_ADDSA,AUDIT_MAC_IPSEC_ADDSA,KERN,DEP,Kernel SELinux / MAC / LSM,Not used.
